Series Title,Year Released,Content Rating,IMDB Rating,Genre,Description,No of Seasons,Streaming Platform
Narcos: Mexico,2018,18+,8.4,"Action & Adventure, Crime","See the rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in 1980s Mexico.Narcos: Mexico featuring Scoot McNairy and Ernesto Alterio has one or more episodes streaming with subscription on Netflix. It's an action & adventure and crime show with 20 episodes over 2 seasons. Narcos: Mexico is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (56,058 votes) and was well received by critics.",2Seasons,Netflix
Sharp Objects,2018,18+,8.2,"Crime, Drama","Reporter Camille Preaker confronts the psychological demons from her past when she returns to her hometown to investigate the murders of two young girls.Sharp Objects featuring Amy Adams and Patricia Clarkson has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 2 others. It's a crime and drama show with 8 episodes over 1 season. Sharp Objects is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (64,557 votes) and was very well received by critics.",1Season,"HBO MAX,HBO"
Battlestar Galactica,2004,16+,8.7,"Action & Adventure, Fantasy","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.Battlestar Galactica featuring Edward James Olmos and Mary McDonnell has one or more episodes free on Peacock, available for purchase on Google Play, available for purchase on Prime Video, and 1 other. It's an action & adventure and drama show with 74 episodes over 4 seasons. Battlestar Galactica is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.7 (149,532 votes).",4Seasons,Free Services
Black Sails,2014,18+,8.2,"Drama, Action & Adventure","The pirate adventures of Captain Flint and his men twenty years prior to Robert Louis Stevenson’s classic “Treasure Island.” Flint, the most brilliant and most feared pirate captain of his day, takes on a fast-talking young addition to his crew who goes by the name John Silver. Threatened with extinction on all sides, they fight for the survival of New Providence Island, the most notorious criminal haven of its day – a debauched paradise teeming with pirates, prostitutes, thieves and fortune seekers, a place defined by both its enlightened ideals and its stunning brutality.Black Sails featuring Toby Stephens and Luke Arnold has one or more episodes streaming on Starz, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and drama show with 38 episodes over 4 seasons. Black Sails is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (90,263 votes) and was well received by critics.",4Seasons,Starz
The OA,2016,18+,7.9,"Drama, Fantasy","Prairie Johnson, blind as a child, comes home to the community she grew up in with her sight restored. Some hail her a miracle, others a dangerous mystery, but Prairie won’t talk with the FBI or her parents about the seven years she went missing.The OA featuring Brit Marling and Jason Isaacs has one or more episodes streaming with subscription on Netflix. It's a drama and fantasy show with 16 episodes over 2 seasons. The OA is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (86,878 votes) and was well received by critics.",2 Seasons,Netflix
Veep,2012,18+,8.3,Comedy,"A look into American politics, revolving around former Senator Selina Meyer who finds being Vice President of the United States is nothing like she expected and everything everyone ever warned her about.Veep featuring Julia Louis-Dreyfus and Anna Chlumsky has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's a comedy show with 65 episodes over 7 seasons. Veep is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (43,368 votes) and was very well received by critics.",7Seasons,"HBO MAX,HBO"
Gilmore Girls,2000,16+,8.1,"Comedy, Drama","Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.Gilmore Girls featuring Lauren Graham and Alexis Bledel has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and drama show with 153 episodes over 7 seasons. Gilmore Girls is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (95,308 votes) and was well received by critics.",7Seasons,Netflix
The Outsider,2020,18+,7.8,"Mystery, Drama","When an insidious supernatural force edges its way into a seemingly straightforward investigation into the gruesome murder of a young boy, it leads a seasoned cop and an unorthodox investigator to question everything they believe in.The Outsider featuring Ben Mendelsohn and Cynthia Erivo has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on Prime Video, and 1 other. It's a crime and drama show with 10 episodes over 1 season. The Outsider is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (53,988 votes) and was very well received by critics.",1Season,"HBO MAX,HBO"
The Killing,2011,18+,8.2,"Crime, Drama","The Killing is an American crime drama television series based upon the Danish television series Forbrydelsen. Set in Seattle, Washington, the series follows the various murder investigations by homicide detectives Sarah Linden and Stephen Holder.The Killing featuring Mireille Enos and Joel Kinnaman has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 45 episodes over 4 seasons. The Killing is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (95,871 votes) and was well received by critics.",4Seasons,Hulu
Big Mouth,2017,18+,8,"Animation, Comedy","Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.Big Mouth featuring Nick Kroll and John Mulaney has one or more episodes streaming with subscription on Netflix. It's an animation and comedy show with 32 episodes over 4 seasons. Big Mouth is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (50,077 votes) and was very well received by critics.",4Seasons,Netflix
The Newsroom,2012,16+,8.6,Drama,"A behind-the-scenes look at the people who make a nightly cable-news program. Focusing on a network anchor, his new executive producer, the newsroom staff and their boss, the series tracks their quixotic mission to do the news well in the face of corporate and commercial obstacles-not to mention their own personal entanglements.The Newsroom featuring Jeff Daniels and Emily Mortimer has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's a drama show with 25 episodes over 3 seasons. The Newsroom is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (101,969 votes) and was met with mixed reviews by critics.",3 Seasons,"HBO MAX,HBO"
Burn Notice,2007,7+,7.9,"Action & Adventure, Crime","A formerly blacklisted spy uses his unique skills and training to help people in desperate situations.Burn Notice featuring Jeffrey Donovan and Gabrielle Anwar has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, available for purchase on iTunes, and 4 others. It's an action & adventure and crime show with 113 episodes over 8 seasons. Burn Notice is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (67,122 votes) and was well received by critics.",8 Seasons,"Prime Video,Hulu"
